"filename", "language", "JSON", "JavaScript", "HTML", "XML", "Markdown", "TypeScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\config\cloudinaryConfig.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 5, 10, 62
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\config\dbConnect.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\controllers\authController.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 0, 4, 41, 205
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\controllers\chatController.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 0, 17, 43, 254
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\controllers\statusController.js", "JavaScript", 0, 131, 0, 0, 0, 0, 0, 0, 13, 42, 186
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\index.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 15, 20, 74
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\middlewares\authMiddleware.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 8, 25
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\models\Conversation.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\models\Messages.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\models\Status.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\models\User.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\package-lock.json", "JSON", 2216, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2217
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\package.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\routes\authRoute.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 4, 18
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\routes\chatRoute.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\routes\statusRoute.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\services\emailService.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 7, 10, 63
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\services\socketService.js", "JavaScript", 0, 195, 0, 0, 0, 0, 0, 0, 14, 51, 260
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\services\twilioService.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 1, 12, 64
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\services\video-call-event.js", "JavaScript", 0, 85, 0, 0, 0, 0, 0, 0, 5, 13, 103
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\utils\jsonwebtoken.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\utils\otpGenerator.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\backend\utils\responseHandler.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 13
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\package-lock.json", "JSON", 5325, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5326
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\package.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 10, 60
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\Protected.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 2, 12, 50
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\hooks\useOutsideClick.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 1, 3, 8
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\ChatSection\ChatList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 2, 11, 145
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\ChatSection\ChatWindow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 509, 0, 31, 58, 598
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\ChatSection\MessageBubble.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 311, 0, 25, 36, 372
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\SettingSection\Settings.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 270, 0, 15, 19, 304
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\StatusSection\Status.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components2\HomePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 41, 9, 85
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components2\Layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 183, 0, 10, 12, 205
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components2\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 10, 16, 264
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components2\UserDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 355, 0, 14, 29, 398
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components\ProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 4, 18
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components\Step1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 10, 86
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components\Step2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 1, 11, 122
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components\Step3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 148, 0, 6, 23, 177
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\components\WhatsAppIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 18
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\user-login\EmailInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 8, 46
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\user-login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 32, 260
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\user-login\dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 4, 8, 106
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\user-login\loginSchemas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 7, 17, 88
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\videoCall\VideoCallManager.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 3, 10, 84
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\pages\videoCall\VideoCallModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 465, 0, 29, 60, 554
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\services\chat.service.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 7, 13, 60
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\services\url.service.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\services\user.service.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 10, 73
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\store\chatStore.js", "JavaScript", 0, 411, 0, 0, 0, 0, 0, 0, 426, 199, 1036
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\store\layoutStore.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\store\themeStore.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\store\useLoginStore.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 2, 11, 58
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\store\useUserStore.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\store\videoCallStore.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 15, 17, 140
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\utils\Loader.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\utils\Spinner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 1, 6, 49
"c:\Users\kamal\OneDrive\Desktop\Whatsapp\frontend\src\utils\countriles.js", "JavaScript", 0, 507, 0, 0, 0, 0, 0, 0, 0, 0, 507
